Urban area (locality),Municipality,Population,Land area (hectares),Density (inh./km²),Code
Törestorp,Gnosjö Municipality,203.0,58.26,348.44,1714.0
Tösse,Åmål Municipality,305.0,58.26,523.52,5096.0
Ucklum,Stenungsund Municipality,255.0,29.96,851.13,4606.0
Uddebo,Tranemo Municipality,258.0,58.21,443.22,5100.0
Uddeholm,Hagfors Municipality,667.0,143.36,465.26,5852.0
Uddevalla,Uddevalla Municipality,31212.0,1691.76,1844.94,4608.0
Uddheden,Sunne Municipality,258.0,73.85,349.36,5856.0
Ullared,Falkenberg Municipality,791.0,135.09,585.54,4140.0
Ullatti,Gällivare Municipality,213.0,157.27,135.44,8900.0
Ullervad,Mariestad Municipality,935.0,121.82,767.53,5488.0
Ullånger,Kramfors Municipality,626.0,97.76,640.34,7680.0
Ulricehamn,Ulricehamn Municipality,9787.0,623.00,1570.95,5104.0
Ulrika,Linköping Municipality,200.0,36.87,542.45,1296.0
Ulvkälla,Härjedalen Municipality,456.0,94.65,481.77,7996.0
Ulvåker,Skövde Municipality,254.0,24.31,1044.84,5492.0
Umeå,Umeå Municipality,79594.0,3415.23,2330.56,8372.0
Unbyn,Boden Municipality,468.0,75.28,621.68,8902.0
Undenäs,Karlsborg Municipality,237.0,60.88,389.29,5496.0
Undersåker,Åre Municipality,438.0,80.69,542.82,8000.0
Unnaryd,Hylte Municipality,759.0,125.95,602.62,4144.0
Upphärad,Trollhättan Municipality,588.0,59.12,994.59,5108.0
Upplanda,Tierp Municipality,364.0,102.95,353.57,652.0
Uppsala,Uppsala Municipality,140454.0,4877.38,2879.70,656.0
Urshult,Tingsryd Municipality,794.0,146.31,542.68,2004.0
Ursviken,Skellefteå Municipality,3977.0,371.51,1070.50,8310.0
Utansjö,Härnösand Municipality,209.0,101.05,206.83,7720.0
Utby,Uddevalla Municipality,267.0,40.63,657.15,5106.0
Utvälinge,Helsingborg Municipality,227.0,24.47,927.67,3766.0
Vad,Smedjebacken Municipality,308.0,100.07,307.78,6820.0
Vadstena,Vadstena Municipality,5613.0,341.22,1644.98,1300.0
Vaggeryd,Vaggeryd Municipality,4920.0,479.65,1025.75,1720.0
Vagnhärad,Trosa Municipality,3324.0,290.51,1144.19,896.0
Valbo,Gävle Municipality,7065.0,823.72,857.69,7344.0
Valdemarsvik,Valdemarsvik Municipality,2772.0,288.95,959.34,1304.0
Valje,Bromölla Municipality Sölvesborg Municipality,823.0,89.40,920.58,3136.0
Valla,Katrineholm Municipality,1517.0,133.46,1136.67,900.0
Vallargärdet,Karlstad Municipality,382.0,64.06,596.32,5860.0
Vallberga,Laholm Municipality,657.0,86.68,757.96,4148.0
Vallda,Kungsbacka Municipality,1604.0,141.19,1136.06,4152.0
Vallentuna,Vallentuna Municipality Täby Municipality,29519.0,1595.50,1850.14,388.0
Vallsta,Bollnäs Municipality,277.0,69.38,399.25,7348.0
Vallvik,Söderhamn Municipality,258.0,122.53,210.56,7352.0
Vallåkra,Helsingborg Municipality,642.0,58.93,1089.43,3772.0
Valskog,Kungsör Municipality,694.0,89.04,779.42,6360.0
Vankiva,Hässleholm Municipality,340.0,44.06,771.67,3140.0
Vannsätter,Söderhamn Municipality,434.0,115.94,374.33,7356.0
Vansbro,Vansbro Municipality,2026.0,330.77,612.51,6828.0
Vansö kyrkby,Strängnäs Municipality,202.0,21.08,958.25,902.0
Vaplan,Krokom Municipality,263.0,56.07,469.06,8002.0
Vara,Vara Municipality,3889.0,302.58,1285.28,5500.0
Varberg,Varberg Municipality,27602.0,1335.45,2066.87,4156.0
Varekil,Orust Municipality,602.0,66.01,911.98,4610.0
Vargön,Vänersborg Municipality,4919.0,351.05,1401.22,5112.0
Varnhem,Skara Municipality,707.0,79.57,888.53,5504.0
Vartofta,Falköping Municipality,540.0,62.47,864.41,5508.0
Vassbäck,Kungsbacka Municipality,617.0,132.39,466.05,4158.0
Vassmolösa,Kalmar Municipality,535.0,136.41,392.20,2452.0
Vattholma,Uppsala Municipality,1427.0,116.09,1229.22,660.0
Vattjom,Sundsvall Municipality,477.0,91.96,518.70,7726.0
Vattnäs,Mora Municipality,294.0,72.21,407.15,6832.0
Vattubrinken,Södertälje Municipality,332.0,69.14,480.19,390.0
Vaxholm,Vaxholm Municipality,4857.0,163.97,2962.13,392.0
Veberöd,Lund Municipality,4062.0,267.12,1520.66,3776.0
Veddige,Varberg Municipality,2045.0,176.84,1156.41,4160.0
Vedevåg,Lindesberg Municipality,656.0,146.43,448.00,6148.0
Vedum,Vara Municipality,926.0,106.67,868.10,5512.0
Vegby,Ulricehamn Municipality,549.0,80.13,685.14,5116.0
Veinge,Laholm Municipality,1190.0,130.74,910.20,4164.0
Vejbystrand,Ängelholm Municipality Båstad Municipality,2721.0,274.35,991.80,3144.0
Velanda,Trollhättan Municipality,581.0,50.50,1150.50,5038.0
Vellinge,Vellinge Municipality,6304.0,316.69,1990.59,3780.0
Vemdalen,Härjedalen Municipality,542.0,318.58,170.13,8008.0
Vena,Hultsfred Municipality,367.0,79.15,463.68,2456.0
Venjan,Mora Municipality,295.0,201.29,146.55,6836.0
Vessigebro,Falkenberg Municipality,740.0,102.62,721.11,4168.0
Vetlanda,Vetlanda Municipality,13050.0,1017.02,1283.16,1724.0
Vi,Sundsvall Municipality,4997.0,344.13,1452.07,7404.0
Vibble,Gotland Municipality,1286.0,125.12,1027.81,2548.0
Viby,Kristianstad Municipality,991.0,104.77,945.88,3148.0
Vickleby,Mörbylånga Municipality,320.0,72.64,440.53,2458.0
Vidja,Huddinge Municipality,682.0,174.33,391.21,394.0
Vidsel,Älvsbyn Municipality,533.0,74.16,718.72,8904.0
Vidöåsen,Hammarö Municipality,272.0,30.30,897.69,5862.0
Vik,Simrishamn Municipality,319.0,60.67,525.80,3152.0
Vika,Falun Municipality,445.0,59.85,743.53,6840.0
Vikarbyn,Rättvik Municipality,1171.0,256.88,455.85,6848.0
Viken,Höganäs Municipality Helsingborg Municipality,4227.0,244.67,1727.63,3784.0
Vikingstad,Linköping Municipality,2096.0,161.03,1301.62,1308.0
Vikmanshyttan,Hedemora Municipality,843.0,154.13,546.94,6852.0
Viksjöfors,Ovanåker Municipality,244.0,63.39,384.92,7360.0
Viksäter,Södertälje Municipality,459.0,63.12,727.19,398.0
Vilhelmina,Vilhelmina Municipality,3657.0,354.13,1032.67,8376.0
Villshärad,Halmstad Municipality,656.0,84.57,775.69,4176.0
Vilshult,Olofström Municipality,314.0,82.55,380.38,2772.0
Vimmerby,Vimmerby Municipality,7934.0,755.50,1050.17,2460.0
Vinberg,Falkenberg Municipality,592.0,44.69,1324.68,4180.0
Vinbergs kyrkby,Falkenberg Municipality,208.0,64.29,323.53,4182.0
Vindeln,Vindeln Municipality,2333.0,296.13,787.83,8380.0
Vingåker,Vingåker Municipality,4282.0,386.85,1106.89,904.0
Vinninga,Lidköping Municipality,1078.0,86.17,1251.02,5516.0
Vinnö,Kristianstad Municipality,536.0,92.97,576.53,3156.0
Vinslöv,Hässleholm Municipality,3984.0,415.51,958.82,3160.0
Vintrie,Malmö Municipality,670.0,29.74,2252.86,3788.0
Vintrosa,Örebro Municipality,1343.0,162.70,825.45,6152.0
Vinäs,Mora Municipality,329.0,87.39,376.47,6860.0
Virsbo,Surahammar Municipality,1517.0,204.71,741.05,6364.0
Virserum,Hultsfred Municipality,1742.0,262.10,664.63,2464.0
Visby,Gotland Municipality,22593.0,1244.28,1815.75,2552.0
Viskafors,Borås Municipality,3790.0,385.58,982.93,5120.0
Vislanda,Alvesta Municipality,1769.0,223.87,790.19,2012.0
Vissefjärda,Emmaboda Municipality,670.0,114.69,584.18,2468.0
Vistträsk,Älvsbyn Municipality,248.0,42.62,581.89,8908.0
Vitaby,Simrishamn Municipality,278.0,37.21,747.11,3164.0
Vittangi,Kiruna Municipality,784.0,226.78,345.71,8912.0
Vittaryd,Ljungby Municipality,318.0,70.99,447.95,2016.0
Vittinge,Heby Municipality,460.0,130.34,352.92,6368.0
Vittjärv,Boden Municipality,445.0,70.67,629.69,8916.0
Vittsjö,Hässleholm Municipality,1665.0,265.28,627.64,3168.0
Vittskövle,Kristianstad Municipality,235.0,40.35,582.40,3170.0
Vollsjö,Sjöbo Municipality,836.0,95.06,879.44,3792.0
Vrena,Nyköping Municipality,626.0,97.20,644.03,908.0
Vretstorp,Hallsberg Municipality,842.0,183.21,459.58,6156.0
Vrigstad,Sävsjö Municipality,1421.0,197.31,720.19,1728.0
Vrångö,Gothenburg Municipality,364.0,39.61,918.96,4612.0
Vuollerim,Jokkmokk Municipality,732.0,201.95,362.47,8920.0
Väckelsång,Tingsryd Municipality,905.0,123.30,733.98,2020.0
Väderstad,Mjölby Municipality,583.0,98.26,593.32,1316.0
Väggarp,Eslöv Municipality,211.0,13.34,1581.71,3830.0
Väjern,Sotenäs Municipality,688.0,40.77,1687.52,4616.0
Väländan,Haninge Municipality,469.0,118.01,397.42,402.0
Väne-Åsaka,Trollhättan Municipality,292.0,47.66,612.67,5128.0
Vänersborg,Vänersborg Municipality,21699.0,1156.51,1876.25,5132.0
Vänge,Uppsala Municipality,1331.0,78.13,1703.57,516.0
Vännäs,Vännäs Municipality,4118.0,327.53,1257.29,8384.0
Vännäsby,Vännäs Municipality,1552.0,187.07,829.64,8388.0
Väring,Skövde Municipality,571.0,66.73,855.69,5520.0
Värmdö-Evlinge,Värmdö Municipality,559.0,124.44,449.21,154.0
Värmlandsbro,Säffle Municipality,501.0,86.04,582.29,5868.0
Värnamo,Värnamo Municipality,18696.0,1217.24,1535.93,1732.0
Värsås,Skövde Municipality,578.0,64.17,900.73,5524.0
Väröbacka,Varberg Municipality,630.0,94.88,664.00,4188.0
Väse,Karlstad Municipality,494.0,69.06,715.32,5872.0
Väskinde,Gotland Municipality,337.0,39.82,846.31,2556.0
Västanvik,Leksand Municipality,385.0,146.29,263.18,6872.0
Västerberg,Sandviken Municipality,242.0,70.16,344.93,7364.0
Västerby,Hedemora Municipality,368.0,57.58,639.11,6880.0
Västerfärnebo,Sala Municipality,477.0,96.13,496.20,6372.0
Västerhaninge,Haninge Municipality,15134.0,931.56,1624.59,404.0
Västerhejde,Gotland Municipality,313.0,53.06,589.90,2560.0
Västerhus,Örnsköldsvik Municipality,326.0,101.35,321.66,7728.0
Västerljung,Trosa Municipality,398.0,35.57,1118.92,910.0
Västerlösa,Linköping Municipality,206.0,44.99,457.88,1318.0
Västermyckeläng,Älvdalen Municipality,279.0,84.69,329.44,6884.0
Västervik,Västervik Municipality,21140.0,1291.50,1636.86,2472.0
Västerås,Västerås Municipality,110877.0,5293.87,2094.44,6376.0
Västibyn,Umeå Municipality,234.0,25.71,910.15,8390.0
Västra Bispgården,Ragunda Municipality,518.0,142.12,364.48,7808.0
Västra Bodarna,Alingsås Municipality,1059.0,205.04,516.48,5136.0
Västra Hagen,Kungsbacka Municipality,969.0,168.00,576.79,4224.0
Västra Husby,Söderköping Municipality,486.0,39.16,1241.06,1320.0
Västra Ingelstad,Vellinge Municipality,721.0,57.31,1258.07,3800.0
Västra Karaby,Kävlinge Municipality,229.0,48.91,468.21,3802.0
Västra Karup,Båstad Municipality,582.0,114.64,507.68,3172.0
Västra Klagstorp,Malmö Municipality,279.0,27.41,1017.88,3804.0
Västra Tommarp,Trelleborg Municipality,214.0,20.43,1047.48,3806.0
Västra Ämtervik,Sunne Municipality,366.0,108.29,337.98,5876.0
Växjö,Växjö Municipality,60887.0,3027.97,2010.82,2024.0
Vålberg,Karlstad Municipality,2770.0,386.03,717.56,5864.0
Våmhus,Mora Municipality,857.0,174.44,491.29,6864.0
Vånga,Norrköping Municipality,220.0,31.04,708.76,1310.0
Vårdsätra,Uppsala Municipality,237.0,28.42,833.92,666.0
Vårgårda,Vårgårda Municipality,5133.0,430.62,1192.00,5124.0
Vårsta,Botkyrka Municipality,2396.0,132.65,1806.26,396.0
Våxtorp,Laholm Municipality,970.0,136.45,710.88,4184.0
Yngsjö,Kristianstad Municipality,302.0,46.30,652.27,3180.0
Ysby,Laholm Municipality,260.0,35.83,725.65,4190.0
Ystad,Ystad Municipality,18350.0,865.48,2120.21,3808.0
Ytterhogdal,Härjedalen Municipality,534.0,226.17,236.11,8012.0
Ytternäs och Vreta,Uppsala Municipality,636.0,145.98,435.68,662.0
Yttersjö,Umeå Municipality,384.0,87.70,437.86,8394.0
Ytterån,Krokom Municipality,204.0,102.66,198.71,8016.0
Zinkgruvan,Askersund Municipality,391.0,225.33,173.52,6160.0
Åby,Norrköping Municipality,4980.0,331.56,1501.99,1324.0
Åby,Växjö Municipality,456.0,72.70,627.24,2028.0
Åbyggeby,Gävle Municipality,811.0,145.02,559.23,7368.0
Åbytorp,Kumla Municipality,755.0,113.82,663.33,6164.0
Åhus,Kristianstad Municipality,9423.0,963.09,978.41,3184.0
Åkarp,Burlöv Municipality,5617.0,232.33,2417.68,3812.0
Åkers styckebruk,Strängnäs Municipality,2891.0,302.63,955.29,912.0
Åkersberga,Österåker Municipality,28033.0,1626.69,1723.32,408.0
Ålberga,Nyköping Municipality,247.0,45.17,546.82,916.0
Åled,Halmstad Municipality,1634.0,202.27,807.83,4192.0
Ålem,Mönsterås Municipality,803.0,115.43,695.66,2480.0
Åmmeberg,Askersund Municipality,590.0,211.54,278.91,6168.0
Åmot,Ockelbo Municipality,277.0,144.42,191.80,7372.0
Åmotfors,Eda Municipality Arvika Municipality,1410.0,260.23,541.83,5880.0
Åmsele,Vindeln Municipality,209.0,81.46,256.57,8392.0
Åmynnet,Örnsköldsvik Municipality,340.0,34.35,989.81,7732.0
Åmål,Åmål Municipality,9065.0,753.67,1202.78,5140.0
Ånge,Ånge Municipality,2872.0,359.80,798.22,7736.0
Ånäset,Robertsfors Municipality,610.0,121.33,502.76,8396.0
Åre,Åre Municipality,1417.0,167.19,847.54,8024.0
Årjäng,Årjäng Municipality,3228.0,409.99,787.34,5884.0
Årstad,Falkenberg Municipality,284.0,36.72,773.42,4196.0
Årsunda,Sandviken Municipality,1008.0,125.17,805.30,7376.0
Åryd,Karlshamn Municipality,336.0,67.15,500.37,2776.0
Åryd,Växjö Municipality,684.0,80.94,845.07,2032.0
Ås,Krokom Municipality,1218.0,120.15,1013.73,8028.0
Ås,Nora Municipality,499.0,49.11,1016.09,6176.0
Åsa,Kungsbacka Municipality,3369.0,281.46,1196.97,4200.0
Åsarne,Berg Municipality,268.0,64.64,414.60,8032.0
Åsarp,Falköping Municipality,598.0,88.22,677.85,5532.0
Åsbro,Askersund Municipality,1164.0,217.35,535.54,6172.0
Åsby,Varberg Municipality,423.0,64.26,658.26,4204.0
Åseda,Uppvidinge Municipality,2430.0,263.57,921.96,2036.0
Åsele,Åsele Municipality,1798.0,337.93,532.06,8400.0
Åselstad,Norrköping Municipality,475.0,50.23,945.65,1326.0
Åsen,Älvdalen Municipality,246.0,103.27,238.21,6892.0
Åsenhöga,Gnosjö Municipality,210.0,37.24,563.91,1738.0
Åsensbruk,Mellerud Municipality,522.0,78.30,666.67,5144.0
Åshammar,Sandviken Municipality,727.0,170.50,426.39,7380.0
Åsljunga,Örkelljunga Municipality,659.0,107.85,611.03,3188.0
Åstol,Tjörn Municipality,210.0,14.80,1418.92,4624.0
Åstorp,Åstorp Municipality Ängelholm Municipality,9488.0,712.32,1331.99,3192.0
Återvall,Värmdö Municipality,206.0,35.26,584.23,410.0
Åtorp,Degerfors Municipality,212.0,28.18,752.31,6178.0
Åtvidaberg,Åtvidaberg Municipality,6859.0,542.03,1265.43,1328.0
Älandsbro,Härnösand Municipality,832.0,155.82,533.95,7740.0
Älgarås,Töreboda Municipality,417.0,97.04,429.72,5536.0
Älghult,Uppvidinge Municipality,446.0,93.55,476.75,2040.0
Älmhult,Älmhult Municipality,8955.0,878.26,1019.63,2048.0
Älmsta,Norrtälje Municipality,1097.0,120.27,912.11,412.0
Älta,Nacka Municipality,9989.0,331.75,3011.00,416.0
Älvdalen,Älvdalen Municipality,1810.0,301.91,599.52,6896.0
Älvkarleby,Älvkarleby Municipality,1647.0,269.98,610.05,664.0
Älvnäs,Ekerö Municipality,601.0,54.37,1105.39,414.0
Älvsbyn,Älvsbyn Municipality,4967.0,635.28,781.86,8932.0
Älvsered,Falkenberg Municipality,433.0,98.50,439.59,4212.0
Älvängen,Ale Municipality,4196.0,296.20,1416.61,5152.0
Äng,Nässjö Municipality,277.0,43.98,629.83,1740.0
Änge,Krokom Municipality,314.0,55.78,562.93,8040.0
Ängelholm,Ängelholm Municipality,23240.0,1283.34,1810.90,3196.0
Ängsholmen,Eskilstuna Municipality,222.0,58.68,378.32,918.0
Ängsvik,Värmdö Municipality,403.0,19.06,2114.38,418.0
Äppelbo,Vansbro Municipality,258.0,103.22,249.95,6900.0
Ärla,Eskilstuna Municipality,1270.0,140.48,904.04,920.0
Äsköping,Katrineholm Municipality,342.0,45.84,746.07,924.0
Äspered,Borås Municipality,287.0,42.94,668.37,5156.0
Äsperöd,Sjöbo Municipality,222.0,27.18,816.78,3816.0
Ätran,Falkenberg Municipality,417.0,67.58,617.05,4216.0
Öbonäs,Norrköping Municipality,457.0,22.22,2056.71,1330.0
Öckerö,Öckerö Municipality,3488.0,242.42,1438.83,4628.0
Ödeborg,Färgelanda Municipality,598.0,74.30,804.85,5160.0
Ödeshög,Ödeshög Municipality,2572.0,241.05,1067.00,1332.0
Ödsmål,Stenungsund Municipality,608.0,85.40,711.94,4630.0
Ödåkra,Helsingborg Municipality,4920.0,304.60,1615.23,3820.0
Öggestorp,Jönköping Municipality,212.0,30.83,687.64,1742.0
Öjersjö,Partille Municipality,3543.0,193.41,1831.86,4631.0
Ölmanäs,Kungsbacka Municipality,886.0,94.35,939.06,4228.0
Ölmbrotorp,Örebro Municipality,548.0,65.43,837.54,6184.0
Ölme,Kristinehamn Municipality,224.0,30.91,724.68,5888.0
Ölmstad,Jönköping Municipality,296.0,43.09,686.93,1448.0
Ölsta,Ekerö Municipality,267.0,76.09,350.90,424.0
Önneköp,Hörby Municipality,206.0,27.13,759.31,3834.0
Önnestad,Kristianstad Municipality,1378.0,176.89,779.02,3200.0
Örbyhus,Tierp Municipality,1984.0,158.02,1255.54,672.0
Örebro,Örebro Municipality,107038.0,4927.17,2172.40,6188.0
Öregrund,Östhammar Municipality,1555.0,244.37,636.33,676.0
Örkelljunga,Örkelljunga Municipality,4818.0,564.37,853.70,3208.0
Örnsköldsvik,Örnsköldsvik Municipality,28991.0,2440.24,1188.04,7744.0
Örserum,Jönköping Municipality,322.0,45.18,712.70,1748.0
Örsjö,Nybro Municipality,369.0,72.97,505.69,2484.0
Örslösa,Lidköping Municipality,307.0,40.78,752.82,5890.0
Örsundsbro,Enköping Municipality,1813.0,164.68,1100.92,680.0
Örtagården,Västerås Municipality,460.0,34.71,1325.27,6382.0
Örtofta,Eslöv Municipality,202.0,50.42,400.63,3828.0
Örviken,Skellefteå Municipality,395.0,98.76,399.96,8408.0
Ösmo,Nynäshamn Municipality,3911.0,219.37,1782.83,420.0
Östadkulle,Vårgårda Municipality,245.0,28.21,868.49,5162.0
Östansjö,Hallsberg Municipality,868.0,139.35,622.89,6192.0
Östavall,Ånge Municipality,222.0,90.02,246.61,7748.0
Österbybruk,Östhammar Municipality,2272.0,251.19,904.49,684.0
Österbymo,Ydre Municipality,834.0,125.58,664.12,1336.0
Österforse,Sollefteå Municipality,204.0,89.73,227.35,7752.0
Österfärnebo,Sandviken Municipality,483.0,116.33,415.20,7384.0
Österhagen och Bergliden,Upplands-Bro Municipality,213.0,22.14,962.06,426.0
Österslöv,Kristianstad Municipality,414.0,50.66,817.21,3216.0
Österstad,Motala Municipality,318.0,35.61,893.01,1340.0
Östersund,Östersund Municipality Krokom Municipality,44327.0,2727.55,1625.16,8044.0
Östervåla,Heby Municipality,1595.0,182.63,873.35,6384.0
Östhammar,Östhammar Municipality,4534.0,376.42,1204.51,688.0
Östhamra,Norrtälje Municipality,255.0,77.72,328.10,422.0
Östmark,Torsby Municipality,216.0,105.45,204.84,5892.0
Östnor,Mora Municipality,534.0,125.04,427.06,6912.0
Östorp och Ådran,Huddinge Municipality Haninge Municipality,244.0,107.66,226.64,406.0
Östra Bispgården,Ragunda Municipality,279.0,147.55,189.09,7806.0
Östra Frölunda,Svenljunga Municipality,309.0,49.01,630.48,5164.0
Östra Grevie,Vellinge Municipality,598.0,44.47,1344.73,3832.0
Östra Husby,Norrköping Municipality,792.0,82.90,955.37,1344.0
Östra Kallfors,Södertälje Municipality,386.0,34.50,1118.84,428.0
Östra Karup,Båstad Municipality,594.0,85.21,697.10,3220.0
Östra Ljungby,Klippan Municipality,935.0,100.05,934.53,3224.0
Östra Ryd,Söderköping Municipality,457.0,76.29,599.03,1348.0
Östra Sönnarslöv,Kristianstad Municipality,294.0,68.18,431.21,3228.0
Östra Tommarp,Simrishamn Municipality,284.0,49.42,574.67,3232.0
Östra Ånneröd,Strömstad Municipality,225.0,10.87,2069.92,4622.0
Östraby,Hörby Municipality,200.0,26.92,742.94,3836.0
Överboda,Umeå Municipality,218.0,51.00,427.45,8412.0
Överhörnäs,Örnsköldsvik Municipality,603.0,238.74,252.58,7756.0
Överkalix,Överkalix Municipality,975.0,106.06,919.29,8940.0
Överlida,Svenljunga Municipality,525.0,90.47,580.30,5168.0
Övertorneå,Övertorneå Municipality,1917.0,268.68,713.49,8944.0
Överum,Västervik Municipality,1203.0,191.88,626.95,2488.0
Övre Soppero,Kiruna Municipality,201.0,132.71,151.46,8948.0
Övre Svartlå,Boden Municipality,201.0,44.81,448.56,8872.0
Öxabäck,Mark Municipality,300.0,41.98,714.63,5172.0
